area(sq.m),yield,GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,elevation,slope,soc,soilph,Groundnut,Maize,Onion,Potato,Sorghum,Sweet Potato,Tomato,Belg,Meher
711.79,626.38,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
607.15,364.29,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
705.52,423.31,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
418.08,367.91,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.38,53.13,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
289.41,254.68,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2769.91,1661.95,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
212.36,186.88,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
210.58,185.31,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180.98,108.59,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
144.58,127.23,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
